Merge_method,Task,Metric,Merge_mean,Best_component,Best_component_mean,Delta_vs_best_component,Joint_FWEdu+MARK+SYN+LRD,Delta_vs_joint,Joint_FWEdu+MARK+SYN+ZYDA+LRD,Delta_vs_joint_ZYDA
TA_Lambda10,water_forest_biodiversity_nature,macro_f1,0.9710,FWEdu+LRD,0.9710,+0.0000,0.9732,-0.0023,0.9442,+0.0268
TA_Lambda10,wximpactbench,macro_f1,0.2724,MARK+LRD,0.2524,+0.0199,0.2435,+0.0288,0.2399,+0.0325
TIES_D05,clim_retrieve,f1,0.8609,SYN+LRD,0.8751,-0.0142,0.8641,-0.0033,0.8588,+0.0021
TIES_D05,climate_commitments_actions,f1,0.6755,MARK+LRD,0.6870,-0.0114,0.5912,+0.0843,0.6456,+0.0299
TIES_D05,climate_detection,f1,0.9362,FWEdu+LRD,0.9535,-0.0173,0.9507,-0.0145,0.9601,-0.0239
TIES_D05,climate_specificity,f1,0.6886,FWEdu+LRD,0.6951,-0.0065,0.7110,-0.0224,0.7015,-0.0129
TIES_D05,climate_sentiment,macro_f1,0.7706,MARK+LRD,0.7714,-0.0007,0.7392,+0.0315,0.7375,+0.0331
TIES_D05,environmental_claims,f1,0.8252,MARK+LRD,0.8254,-0.0002,,,,
TIES_D05,netzero_reduction,macro_f1,0.9898,SYN+LRD,0.9904,-0.0006,0.9851,+0.0047,0.9886,+0.0012
TIES_D05,tcfd_recommendations,macro_f1,0.6140,MARK+LRD,0.6131,+0.0009,0.6235,-0.0095,0.6291,-0.0151
TIES_D05,water_forest_biodiversity_nature,macro_f1,0.9653,FWEdu+LRD,0.9710,-0.0057,0.9732,-0.0080,0.9442,+0.0210
TIES_D05,wximpactbench,macro_f1,0.2851,MARK+LRD,0.2524,+0.0326,0.2435,+0.0415,0.2399,+0.0452
TIES_D07,clim_retrieve,f1,0.8509,SYN+LRD,0.8751,-0.0241,0.8641,-0.0132,0.8588,-0.0078
TIES_D07,climate_commitments_actions,f1,0.7186,MARK+LRD,0.6870,+0.0316,0.5912,+0.1274,0.6456,+0.0729
TIES_D07,climate_detection,f1,0.9490,FWEdu+LRD,0.9535,-0.0045,0.9507,-0.0017,0.9601,-0.0112
TIES_D07,climate_specificity,f1,0.7066,FWEdu+LRD,0.6951,+0.0115,0.7110,-0.0044,0.7015,+0.0051
TIES_D07,climate_sentiment,macro_f1,0.7559,MARK+LRD,0.7714,-0.0154,0.7392,+0.0167,0.7375,+0.0184
TIES_D07,environmental_claims,f1,0.8321,MARK+LRD,0.8254,+0.0067,,,,
TIES_D07,netzero_reduction,macro_f1,0.9904,SYN+LRD,0.9904,+0.0000,0.9851,+0.0053,0.9886,+0.0018
TIES_D07,tcfd_recommendations,macro_f1,0.5965,MARK+LRD,0.6131,-0.0166,0.6235,-0.0270,0.6291,-0.0326
TIES_D07,water_forest_biodiversity_nature,macro_f1,0.9671,FWEdu+LRD,0.9710,-0.0039,0.9732,-0.0062,0.9442,+0.0228
TIES_D07,wximpactbench,macro_f1,0.2694,MARK+LRD,0.2524,+0.0169,0.2435,+0.0258,0.2399,+0.0295
