,,,,,,,,,,,,,,,,,,,
CMB_FWEdu_V2_MARK_WX_SYN_ZYDA_CX_LRD_epoch5,CMB_MARK_CX_LRD_epoch5,CMB_WX_SYN_ZYDA_CX_epoch5,MB_CX_LAST_epoch5,,CMB_FWEdu_V2_MARK_WX_SYN_ZYDA_CX_LRD_epoch10,CMB_MARK_CX_LRD_epoch10,CMB_WX_SYN_ZYDA_CX_epoch10,MB_CX_LAST_epoch10,,CMB_FWEdu_V2_MARK_WX_SYN_ZYDA_CX_LRD_epoch15,CMB_MARK_CX_LRD_epoch15,CMB_WX_SYN_ZYDA_CX_epoch15,MB_CX_LAST_epoch15,,CMB_FWEdu_V2_MARK_WX_SYN_ZYDA_CX_LRD_epoch20,CMB_MARK_CX_LRD_epoch20,CMB_WX_SYN_ZYDA_CX_epoch20,MB_CX_LAST_epoch20,
"ndcg@5: 0.4339 ± 0.0177 [0.4367895078771396, 0.453996897713093, 0.41095173815956865]","ndcg@5: 0.3962 ± 0.0555 [0.41342210976893173, 0.45390289903397874, 0.3211717058303965]","ndcg@5: 0.4796 ± 0.0140 [0.4824244436490686, 0.4612169410574989, 0.49523690892652633]","ndcg@5: 0.4607 ± 0.0195 [0.47429104123454313, 0.47468118528975106, 0.43307822561420994]",,"ndcg@5: 0.4665 ± 0.0047 [0.4671720232191118, 0.4719764404923443, 0.4604319517047486]","ndcg@5: 0.4693 ± 0.0096 [0.46044108354575425, 0.4647340877721673, 0.48259253054172496]","ndcg@5: 0.4771 ± 0.0136 [0.47281516521642253, 0.46309752503024626, 0.4954635683416805]","ndcg@5: 0.4763 ± 0.0080 [0.48408907000612367, 0.4794870653847507, 0.4651870399917936]",,"ndcg@5: 0.4681 ± 0.0105 [0.4812925727127554, 0.4556643647401739, 0.4674689323316674]","ndcg@5: 0.4713 ± 0.0119 [0.48801070543435554, 0.46441214432060285, 0.4614706143394963]","ndcg@5: 0.4639 ± 0.0039 [0.4694659833138559, 0.4617083215047141, 0.46061097653771554]","ndcg@5: 0.4731 ± 0.0026 [0.47408285809307643, 0.47563611904556535, 0.46954569257882217]",,"ndcg@5: 0.4731 ± 0.0041 [0.478786204483019, 0.47143458622584017, 0.4691370783956194]","ndcg@5: 0.4608 ± 0.0086 [0.45213032433691747, 0.4694215265609843]","ndcg@5: 0.4759 ± 0.0113 [0.48924839266942166, 0.4768538947184391, 0.461694252439733]","ndcg@5: 0.4657 ± 0.0089 [0.4666918820556394, 0.4760913941608791, 0.45424118191911295]",
"ndcg@10: 0.4473 ± 0.0203 [0.44269157964303507, 0.4742110929494039, 0.42514600298081595]","ndcg@10: 0.4135 ± 0.0415 [0.4282626731560328, 0.4554333733592478, 0.35693974125125555]","ndcg@10: 0.4943 ± 0.0120 [0.48574568531555323, 0.4860237674170706, 0.5112567234423505]","ndcg@10: 0.4741 ± 0.0229 [0.4875764830945319, 0.49284663738740303, 0.4419319692306886]",,"ndcg@10: 0.4813 ± 0.0027 [0.4840820426219739, 0.48213625533209675, 0.47762135858019605]","ndcg@10: 0.4872 ± 0.0110 [0.4800814593593748, 0.4787981897267065, 0.5027066847962252]","ndcg@10: 0.4963 ± 0.0060 [0.49154080545821716, 0.4925906680805133, 0.5047466706065417]","ndcg@10: 0.4981 ± 0.0029 [0.49569641980893314, 0.5022238101036395, 0.49642658673301826]",,"ndcg@10: 0.4912 ± 0.0070 [0.5006798321570874, 0.4838448890616538, 0.4891083680175392]","ndcg@10: 0.4968 ± 0.0072 [0.505808738478536, 0.4962466460675565, 0.48820299163373354]","ndcg@10: 0.4912 ± 0.0033 [0.49581016446777715, 0.48818225392091674, 0.48959883642043545]","ndcg@10: 0.4872 ± 0.0042 [0.4866579878228077, 0.4925899428973079, 0.482236028317607]",,"ndcg@10: 0.4922 ± 0.0035 [0.49712660378951, 0.4890593428837367, 0.490313016454532]","ndcg@10: 0.4885 ± 0.0028 [0.4857454317803259, 0.49128666989805037]","ndcg@10: 0.4955 ± 0.0108 [0.5106407925079209, 0.4897648638279991, 0.48606541578475376]","ndcg@10: 0.4881 ± 0.0035 [0.48878683440471826, 0.4919576362135349, 0.48349403714287476]",
,,,,,,,,,,,,,,,,,,,
climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:,,climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:,,climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:,,climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:,
"precision: 0.6526 ± 0.0043 [0.6506024096385542, 0.6486486486486487, 0.6585365853658537]","precision: 0.6187 ± 0.0184 [0.6285714285714286, 0.5929203539823009, 0.6346153846153846]","precision: 0.6432 ± 0.0053 [0.6363636363636364, 0.6491228070175439, 0.6442307692307693]","precision: 0.6425 ± 0.0259 [0.6666666666666666, 0.6542056074766355, 0.6065573770491803]",,"precision: 0.6595 ± 0.0030 [0.6559139784946236, 0.6632653061224489, 0.6593406593406593]","precision: 0.6402 ± 0.0035 [0.6410256410256411, 0.635593220338983, 0.6440677966101694]","precision: 0.6081 ± 0.0106 [0.6120689655172413, 0.6186440677966102, 0.5934959349593496]","precision: 0.6402 ± 0.0185 [0.6538461538461539, 0.6526315789473685, 0.6140350877192983]",,"precision: 0.6768 ± 0.0019 [0.6777777777777778, 0.6785714285714286, 0.6741573033707865]","precision: 0.6255 ± 0.0357 [0.67, 0.5826086956521739, 0.6239316239316239]","precision: 0.6401 ± 0.0191 [0.6226415094339622, 0.6666666666666666, 0.6310679611650486]","precision: 0.5898 ± 0.0300 [0.5658914728682171, 0.5714285714285714, 0.6320754716981132]",,"precision: 0.6526 ± 0.0247 [0.6756756756756757, 0.6183206106870229, 0.6637931034482759]","precision: 0.6481 ± 0.0092 [0.635593220338983, 0.6574074074074074, 0.6513761467889908]","precision: 0.6356 ± 0.0092 [0.646551724137931, 0.6363636363636364, 0.624]","precision: 0.6451 ± 0.0039 [0.6476190476190476, 0.6396396396396397, 0.6481481481481481]",
"recall: 0.5306 ± 0.0289 [0.5510204081632653, 0.4897959183673469, 0.5510204081632653]","recall: 0.6769 ± 0.0048 [0.673469387755102, 0.6836734693877551, 0.673469387755102]","recall: 0.7177 ± 0.0293 [0.7142857142857143, 0.7551020408163265, 0.6836734693877551]","recall: 0.7211 ± 0.0255 [0.6938775510204082, 0.7142857142857143, 0.7551020408163265]",,"recall: 0.6327 ± 0.0220 [0.6224489795918368, 0.6632653061224489, 0.6122448979591837]","recall: 0.7687 ± 0.0048 [0.7653061224489796, 0.7653061224489796, 0.7755102040816326]","recall: 0.7381 ± 0.0096 [0.7244897959183674, 0.7448979591836735, 0.7448979591836735]","recall: 0.6803 ± 0.0347 [0.6938775510204082, 0.6326530612244898, 0.7142857142857143]",,"recall: 0.6054 ± 0.0173 [0.6224489795918368, 0.5816326530612245, 0.6122448979591837]","recall: 0.7041 ± 0.0289 [0.6836734693877551, 0.6836734693877551, 0.7448979591836735]","recall: 0.6905 ± 0.0315 [0.673469387755102, 0.7346938775510204, 0.6632653061224489]","recall: 0.7211 ± 0.0268 [0.7448979591836735, 0.7346938775510204, 0.6836734693877551]",,"recall: 0.7925 ± 0.0255 [0.7653061224489796, 0.826530612244898, 0.7857142857142857]","recall: 0.7381 ± 0.0192 [0.7653061224489796, 0.7244897959183674, 0.7244897959183674]","recall: 0.7823 ± 0.0127 [0.7653061224489796, 0.7857142857142857, 0.7959183673469388]","recall: 0.7109 ± 0.0127 [0.6938775510204082, 0.7244897959183674, 0.7142857142857143]",
"f1: 0.5849 ± 0.0190 [0.5966850828729282, 0.5581395348837209, 0.6]","f1: 0.6463 ± 0.0080 [0.6502463054187192, 0.6350710900473934, 0.6534653465346535]","f1: 0.6782 ± 0.0146 [0.6730769230769231, 0.6981132075471698, 0.6633663366336634]","f1: 0.6786 ± 0.0043 [0.68, 0.6829268292682927, 0.6727272727272727]",,"f1: 0.6456 ± 0.0126 [0.6387434554973822, 0.6632653061224489, 0.6349206349206349]","f1: 0.6986 ± 0.0038 [0.6976744186046512, 0.6944444444444444, 0.7037037037037037]","f1: 0.6667 ± 0.0066 [0.6635514018691588, 0.6759259259259259, 0.6606334841628959]","f1: 0.6587 ± 0.0126 [0.6732673267326733, 0.6424870466321243, 0.660377358490566]",,"f1: 0.6390 ± 0.0094 [0.648936170212766, 0.6263736263736264, 0.6417112299465241]","f1: 0.6616 ± 0.0230 [0.6767676767676768, 0.6291079812206573, 0.6790697674418604]","f1: 0.6643 ± 0.0246 [0.6470588235294118, 0.6990291262135923, 0.6467661691542289]","f1: 0.6476 ± 0.0065 [0.6431718061674009, 0.6428571428571429, 0.6568627450980392]",,"f1: 0.7149 ± 0.0054 [0.7177033492822966, 0.7074235807860262, 0.719626168224299]","f1: 0.6899 ± 0.0035 [0.6944444444444444, 0.6893203883495146, 0.6859903381642513]","f1: 0.7012 ± 0.0015 [0.7009345794392523, 0.7031963470319634, 0.6995515695067265]","f1: 0.6763 ± 0.0045 [0.6699507389162561, 0.6794258373205742, 0.6796116504854369]",
"accuracy: 0.7698 ± 0.0053 [0.771875, 0.7625, 0.775]","accuracy: 0.7729 ± 0.0097 [0.778125, 0.759375, 0.78125]","accuracy: 0.7917 ± 0.0059 [0.7875, 0.8, 0.7875]","accuracy: 0.7906 ± 0.0111 [0.8, 0.796875, 0.775]",,"accuracy: 0.7875 ± 0.0044 [0.784375, 0.79375, 0.784375]","accuracy: 0.7969 ± 0.0026 [0.796875, 0.79375, 0.8]","accuracy: 0.7740 ± 0.0064 [0.775, 0.78125, 0.765625]","accuracy: 0.7844 ± 0.0077 [0.79375, 0.784375, 0.775]",,"accuracy: 0.7906 ± 0.0026 [0.79375, 0.7875, 0.790625]","accuracy: 0.7792 ± 0.0195 [0.8, 0.753125, 0.784375]","accuracy: 0.7865 ± 0.0141 [0.775, 0.80625, 0.778125]","accuracy: 0.7594 ± 0.0155 [0.746875, 0.75, 0.78125]",,"accuracy: 0.8063 ± 0.0111 [0.815625, 0.790625, 0.8125]","accuracy: 0.7969 ± 0.0026 [0.79375, 0.8, 0.796875]","accuracy: 0.7958 ± 0.0039 [0.8, 0.796875, 0.790625]","accuracy: 0.7917 ± 0.0015 [0.790625, 0.790625, 0.79375]",
,,,,,,,,,,,,,,,,,,,
climate_detection:,climate_detection:,climate_detection:,climate_detection:,,climate_detection:,climate_detection:,climate_detection:,climate_detection:,,climate_detection:,climate_detection:,climate_detection:,climate_detection:,,climate_detection:,climate_detection:,climate_detection:,climate_detection:,
