Merge_method,Joint_baseline,Task,Metric,N,Mean_Joint,Mean_Merge,Delta,Paired_t_p,Wilcoxon_p,Cohens_d,Direction
DARE_TIES_D05,FWEdu+MARK+SYN+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9732,0.9712,-0.0021,0.4991,1.0000,-0.47,mixed
DARE_TIES_D05,FWEdu+MARK+SYN+LRD,wximpactbench,macro_f1,3,0.2435,0.2685,+0.0249,0.6344,1.0000,0.32,mixed
DARE_TIES_D05,FWEdu+MARK+SYN+ZYDA+LRD,clim_retrieve,f1,3,0.8588,0.8634,+0.0046,0.3238,0.1797,0.75,mixed
DARE_TIES_D05,FWEdu+MARK+SYN+ZYDA+LRD,climate_commitments_actions,f1,3,0.6456,0.6720,+0.0264,0.0611,0.2500,2.23,all_B>A
DARE_TIES_D05,FWEdu+MARK+SYN+ZYDA+LRD,climate_detection,f1,3,0.9601,0.9480,-0.0121,0.0590,0.2500,-2.27,all_B<A
DARE_TIES_D05,FWEdu+MARK+SYN+ZYDA+LRD,climate_specificity,f1,3,0.7015,0.6919,-0.0096,0.4812,0.5000,-0.50,mixed
DARE_TIES_D05,FWEdu+MARK+SYN+ZYDA+LRD,climate_sentiment,macro_f1,3,0.7375,0.7829,+0.0454,0.0160,0.2500,4.51,all_B>A
DARE_TIES_D05,FWEdu+MARK+SYN+ZYDA+LRD,netzero_reduction,macro_f1,3,0.9886,0.9886,+0.0000,0.9978,0.7500,0.00,mixed
DARE_TIES_D05,FWEdu+MARK+SYN+ZYDA+LRD,tcfd_recommendations,macro_f1,3,0.6291,0.5784,-0.0507,0.0061,0.2500,-7.37,all_B<A
DARE_TIES_D05,FWEdu+MARK+SYN+ZYDA+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9442,0.9712,+0.0269,0.0824,0.2500,1.89,all_B>A
DARE_TIES_D05,FWEdu+MARK+SYN+ZYDA+LRD,wximpactbench,macro_f1,3,0.2399,0.2685,+0.0286,0.6027,1.0000,0.35,mixed
DARE_TIES_D05,MARK+SYN+LRD,clim_retrieve,f1,3,0.8259,0.8634,+0.0375,0.2960,0.2500,0.81,all_B>A
DARE_TIES_D05,MARK+SYN+LRD,climate_commitments_actions,f1,3,0.6636,0.6720,+0.0084,0.0111,0.2500,5.43,all_B>A
DARE_TIES_D05,MARK+SYN+LRD,climate_detection,f1,3,0.9293,0.9480,+0.0187,0.1803,0.2500,1.17,all_B>A
DARE_TIES_D05,MARK+SYN+LRD,climate_specificity,f1,3,0.7011,0.6919,-0.0092,0.3172,0.5000,-0.76,mixed
DARE_TIES_D05,MARK+SYN+LRD,climate_sentiment,macro_f1,3,0.7808,0.7829,+0.0021,0.5030,0.5000,0.47,mixed
