Merge_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD,DARE_TIES_D05_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD,DARE_TIES_D07_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD,TA_Lambda05_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD,TA_Lambda10_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD,TIES_D05_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD,TIES_D07_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD
"precision: 0.9679 ± 0.0040 [0.9652996845425867, 0.9735973597359736, 0.9648562300319489]","precision: 0.9654 ± 0.0030 [0.9676375404530745, 0.9675324675324676, 0.9611650485436893]","precision: 0.9695 ± 0.0014 [0.9675324675324676, 0.9704918032786886, 0.9703947368421053]","precision: 0.9715 ± 0.0054 [0.9769736842105263, 0.9641693811074918, 0.973421926910299]","precision: 0.9616 ± 0.0062 [0.9558359621451105, 0.9588607594936709, 0.9701986754966887]","precision: 0.9818 ± 0.0039 [0.9766666666666667, 0.9826989619377162, 0.986013986013986]","precision: 0.9800 ± 0.0000 [0.9800664451827242, 0.98, 0.98]"
"recall: 0.9406 ± 0.0142 [0.95625, 0.921875, 0.94375]","recall: 0.9313 ± 0.0026 [0.934375, 0.93125, 0.928125]","recall: 0.9260 ± 0.0039 [0.93125, 0.925, 0.921875]","recall: 0.9229 ± 0.0053 [0.928125, 0.925, 0.915625]","recall: 0.9365 ± 0.0147 [0.946875, 0.946875, 0.915625]","recall: 0.8948 ± 0.0150 [0.915625, 0.8875, 0.88125]","recall: 0.9198 ± 0.0015 [0.921875, 0.91875, 0.91875]"
"f1: 0.9540 ± 0.0056 [0.9607535321821036, 0.9470304975922953, 0.9541864139020537]","f1: 0.9480 ± 0.0027 [0.9507154213036566, 0.9490445859872612, 0.9443561208267091]","f1: 0.9473 ± 0.0014 [0.9490445859872612, 0.9472, 0.9455128205128205]","f1: 0.9466 ± 0.0038 [0.9519230769230769, 0.9441786283891547, 0.9436392914653784]","f1: 0.9488 ± 0.0047 [0.9513343799058085, 0.9528301886792453, 0.9421221864951769]","f1: 0.9362 ± 0.0064 [0.9451612903225807, 0.9326765188834154, 0.9306930693069307]","f1: 0.9490 ± 0.0008 [0.9500805152979066, 0.9483870967741935, 0.9483870967741935]"
"accuracy: 0.9275 ± 0.0082 [0.9375, 0.9175, 0.9275]","accuracy: 0.9183 ± 0.0042 [0.9225, 0.92, 0.9125]","accuracy: 0.9175 ± 0.0020 [0.92, 0.9175, 0.915]","accuracy: 0.9167 ± 0.0059 [0.925, 0.9125, 0.9125]","accuracy: 0.9192 ± 0.0066 [0.9225, 0.925, 0.91]","accuracy: 0.9025 ± 0.0089 [0.915, 0.8975, 0.895]","accuracy: 0.9208 ± 0.0012 [0.9225, 0.92, 0.92]"
,,,,,,
climate_sentiment:,climate_sentiment:,climate_sentiment:,climate_sentiment:,climate_sentiment:,climate_sentiment:,climate_sentiment:
"micro_f1: 0.7854 ± 0.0141 [0.76875, 0.784375, 0.803125]","micro_f1: 0.8073 ± 0.0015 [0.80625, 0.80625, 0.809375]","micro_f1: 0.7687 ± 0.0155 [0.790625, 0.759375, 0.75625]","micro_f1: 0.7521 ± 0.0015 [0.75, 0.753125, 0.753125]","micro_f1: 0.7958 ± 0.0237 [0.7625, 0.809375, 0.815625]","micro_f1: 0.7896 ± 0.0078 [0.7875, 0.8, 0.78125]","micro_f1: 0.7771 ± 0.0106 [0.7625, 0.78125, 0.7875]"
"macro_f1: 0.7668 ± 0.0138 [0.7509942883866154, 0.7649435086108342, 0.7845554048694033]","macro_f1: 0.7829 ± 0.0011 [0.7827248871196497, 0.781656025134286, 0.784230060283365]","macro_f1: 0.7405 ± 0.0203 [0.7689751324592953, 0.7294222115814284, 0.7231921339964558]","macro_f1: 0.7101 ± 0.0023 [0.7079932143482685, 0.708885772691699, 0.7133061529785752]","macro_f1: 0.7696 ± 0.0309 [0.7259186560055423, 0.789194139194139, 0.7936075285496905]","macro_f1: 0.7706 ± 0.0070 [0.7686690751066783, 0.7799830358020013, 0.7632924111979834]","macro_f1: 0.7559 ± 0.0159 [0.7338601013833851, 0.7630534015289007, 0.7708573563954729]"
"weighted_f1: 0.7890 ± 0.0142 [0.7717407053034445, 0.7887986122629053, 0.8064840499306518]","weighted_f1: 0.8093 ± 0.0016 [0.8080316921432535, 0.8082924141076315, 0.8114977400536528]","weighted_f1: 0.7691 ± 0.0152 [0.7906127958579882, 0.7600647645356855, 0.7567456268221575]","weighted_f1: 0.7524 ± 0.0015 [0.7504464947277375, 0.7529492611601794, 0.7538874183374634]","weighted_f1: 0.7972 ± 0.0244 [0.7628961839332622, 0.8115161401098903, 0.8172455319549705]","weighted_f1: 0.7930 ± 0.0080 [0.7914845627503337, 0.8034266180568712, 0.784008630107057]","weighted_f1: 0.7790 ± 0.0102 [0.7648870252882347, 0.7833381970796898, 0.7888408372037156]"
"accuracy: 0.7854 ± 0.0141 [0.76875, 0.784375, 0.803125]","accuracy: 0.8073 ± 0.0015 [0.80625, 0.80625, 0.809375]","accuracy: 0.7687 ± 0.0155 [0.790625, 0.759375, 0.75625]","accuracy: 0.7521 ± 0.0015 [0.75, 0.753125, 0.753125]","accuracy: 0.7958 ± 0.0237 [0.7625, 0.809375, 0.815625]","accuracy: 0.7896 ± 0.0078 [0.7875, 0.8, 0.78125]","accuracy: 0.7771 ± 0.0106 [0.7625, 0.78125, 0.7875]"
,,,,,,
