Merge_method,Component,Task,Metric,N,Mean_Component,Mean_Merge,Delta,Paired_t_p,Wilcoxon_p,Cohens_d,Direction
DARE_TIES_D07,MARK+LRD,climate_detection,f1,3,0.9363,0.9473,+0.0109,0.0131,0.2500,5.00,all_B>A
DARE_TIES_D07,MARK+LRD,climate_specificity,f1,3,0.6655,0.6764,+0.0109,0.2424,0.5000,0.95,mixed
DARE_TIES_D07,MARK+LRD,climate_sentiment,macro_f1,3,0.7768,0.7405,-0.0362,0.1586,0.2500,-1.27,all_B<A
DARE_TIES_D07,MARK+LRD,netzero_reduction,macro_f1,3,0.9707,0.9892,+0.0185,0.1889,0.5000,1.13,mixed
DARE_TIES_D07,MARK+LRD,tcfd_recommendations,macro_f1,3,0.6106,0.6155,+0.0050,0.4129,0.5000,0.59,mixed
DARE_TIES_D07,MARK+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9694,0.9696,+0.0002,0.9549,1.0000,0.04,mixed
DARE_TIES_D07,MARK+LRD,wximpactbench,macro_f1,3,0.2574,0.2617,+0.0044,0.6869,1.0000,0.27,mixed
DARE_TIES_D07,FWEdu+LRD,clim_retrieve,f1,3,0.8418,0.8549,+0.0131,0.4139,0.5000,0.59,mixed
DARE_TIES_D07,FWEdu+LRD,climate_commitments_actions,f1,3,0.6796,0.6332,-0.0464,0.0763,0.2500,-1.97,all_B<A
DARE_TIES_D07,FWEdu+LRD,climate_detection,f1,3,0.9535,0.9473,-0.0062,0.0257,0.2500,-3.53,all_B<A
DARE_TIES_D07,FWEdu+LRD,climate_specificity,f1,3,0.6951,0.6764,-0.0187,0.3228,0.5000,-0.75,mixed
DARE_TIES_D07,FWEdu+LRD,climate_sentiment,macro_f1,3,0.7693,0.7405,-0.0287,0.2140,0.5000,-1.04,mixed
DARE_TIES_D07,FWEdu+LRD,netzero_reduction,macro_f1,3,0.9892,0.9892,+0.0000,0.9997,0.6547,0.00,mixed
DARE_TIES_D07,FWEdu+LRD,tcfd_recommendations,macro_f1,3,0.5959,0.6155,+0.0197,0.3812,0.5000,0.64,mixed
DARE_TIES_D07,FWEdu+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9710,0.9696,-0.0013,0.5669,0.7500,-0.39,mixed
DARE_TIES_D07,FWEdu+LRD,wximpactbench,macro_f1,3,0.2032,0.2617,+0.0586,0.1280,0.2500,1.45,all_B>A
DARE_TIES_D07,SYN+LRD,clim_retrieve,f1,3,0.8751,0.8549,-0.0202,0.3246,0.5000,-0.75,mixed
DARE_TIES_D07,SYN+LRD,climate_commitments_actions,f1,3,0.6637,0.6332,-0.0305,0.3013,0.2500,-0.80,all_B<A
DARE_TIES_D07,SYN+LRD,climate_detection,f1,3,0.9378,0.9473,+0.0095,0.0079,0.2500,6.44,all_B>A
DARE_TIES_D07,SYN+LRD,climate_specificity,f1,3,0.6937,0.6764,-0.0173,0.1662,0.2500,-1.23,all_B<A
DARE_TIES_D07,SYN+LRD,climate_sentiment,macro_f1,3,0.7476,0.7405,-0.0070,0.7961,1.0000,-0.17,mixed
DARE_TIES_D07,SYN+LRD,netzero_reduction,macro_f1,3,0.9904,0.9892,-0.0012,0.4226,0.3173,-0.58,mixed
DARE_TIES_D07,SYN+LRD,tcfd_recommendations,macro_f1,3,0.6111,0.6155,+0.0044,0.6135,0.5000,0.34,mixed
DARE_TIES_D07,SYN+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9651,0.9696,+0.0046,0.3789,0.5000,0.65,mixed
DARE_TIES_D07,SYN+LRD,wximpactbench,macro_f1,3,0.2498,0.2617,+0.0119,0.8414,1.0000,0.13,mixed
TA_Lambda05,MARK+LRD,clim_retrieve,f1,3,0.8410,0.8094,-0.0315,0.2413,0.2500,-0.95,all_B<A
TA_Lambda05,MARK+LRD,climate_commitments_actions,f1,3,0.7010,0.6751,-0.0259,0.0851,0.2500,-1.85,all_B<A
TA_Lambda05,MARK+LRD,climate_detection,f1,3,0.9363,0.9466,+0.0103,0.0215,0.2500,3.88,all_B>A
TA_Lambda05,MARK+LRD,climate_specificity,f1,3,0.6655,0.6785,+0.0130,0.1308,0.2500,1.44,all_B>A
