CMB_MARK_CX,CMB_MARK_WX_SYN_CX,CMB_MARK_WX_SYN_CX_LRD,CMB_MARK_CX_LRD
"micro_f1: 0.7975 ± 0.0117 [0.815625, 0.8, 0.796875, 0.79375, 0.8, 0.76875, 0.80625, 0.80625, 0.79375, 0.79375]","micro_f1: 0.7941 ± 0.0169 [0.796875, 0.803125, 0.80625, 0.76875, 0.809375, 0.765625, 0.79375, 0.809375, 0.8125, 0.775]","micro_f1: 0.8037 ± 0.0062 [0.803125, 0.809375, 0.79375, 0.815625, 0.796875, 0.80625, 0.8, 0.803125, 0.8, 0.809375]","micro_f1: 0.7941 ± 0.0068 [0.790625, 0.809375, 0.79375, 0.7875, 0.7875, 0.8, 0.7875, 0.790625, 0.8, 0.79375]"
"macro_f1: 0.7738 ± 0.0098 [0.7901502043682139, 0.7747173202261918, 0.7753984816864773, 0.771705694655156, 0.7733977676803998, 0.7502136364552472, 0.7807244348177496, 0.7816949526263222, 0.7704842807418103, 0.7698912973648362]","macro_f1: 0.7695 ± 0.0200 [0.7781182526858569, 0.7778042501373253, 0.7850635455160787, 0.7369123931623932, 0.7874467874467874, 0.7360044120496654, 0.7762315112974326, 0.7828955481563694, 0.7879065844413095, 0.7464775347642169]","macro_f1: 0.7805 ± 0.0051 [0.7795982848115549, 0.7844796655639493, 0.7782009675622215, 0.7892131763099505, 0.7715591914496116, 0.7789351242449505, 0.7743461517440858, 0.7808276297574507, 0.78026084876503, 0.7871562709590879]","macro_f1: 0.7714 ± 0.0073 [0.7729861369975382, 0.7875626401443313, 0.7697483789405001, 0.7622979467016164, 0.7660595833694849, 0.7738946435337093, 0.7632769115622758, 0.7661223176836905, 0.7789961013645224, 0.7727631348993486]"
"weighted_f1: 0.8008 ± 0.0118 [0.8187831941623411, 0.802956819693095, 0.8000829855125066, 0.7976502957136761, 0.8023024575583232, 0.7712850780730395, 0.8098609426916676, 0.8095798867271018, 0.7973647928348387, 0.7979506870449692]","weighted_f1: 0.7961 ± 0.0170 [0.7994016788720879, 0.8047936893203882, 0.8087120602999232, 0.7690029046474359, 0.810998910998911, 0.7681158330724858, 0.796668074837475, 0.8101102941176471, 0.8154512294058078, 0.7774409345943376]","weighted_f1: 0.8059 ± 0.0059 [0.8060353193410066, 0.8113508183972744, 0.7953009859366957, 0.8167210701484894, 0.8001413615232519, 0.8074650346833728, 0.8029505250703142, 0.8053621311694925, 0.8023342562944509, 0.8114999371227363]","weighted_f1: 0.7969 ± 0.0068 [0.7939425523991793, 0.8120654989567125, 0.7960313353859957, 0.7895425131061599, 0.7908789994333641, 0.8017807319479294, 0.7906369701626706, 0.7922445963291578, 0.8036846673976609, 0.7977375957292699]"
"accuracy: 0.7975 ± 0.0117 [0.815625, 0.8, 0.796875, 0.79375, 0.8, 0.76875, 0.80625, 0.80625, 0.79375, 0.79375]","accuracy: 0.7941 ± 0.0169 [0.796875, 0.803125, 0.80625, 0.76875, 0.809375, 0.765625, 0.79375, 0.809375, 0.8125, 0.775]","accuracy: 0.8037 ± 0.0062 [0.803125, 0.809375, 0.79375, 0.815625, 0.796875, 0.80625, 0.8, 0.803125, 0.8, 0.809375]","accuracy: 0.7941 ± 0.0068 [0.790625, 0.809375, 0.79375, 0.7875, 0.7875, 0.8, 0.7875, 0.790625, 0.8, 0.79375]"
,,,
climate_specificity:,climate_specificity:,climate_specificity:,climate_specificity:
"precision: 0.8459 ± 0.0241 [0.8275862068965517, 0.8390804597701149, 0.875, 0.8255813953488372, 0.8690476190476191, 0.8488372093023255, 0.8372093023255814, 0.8860759493670886, 0.8488372093023255, 0.8020833333333334]","precision: 0.8352 ± 0.0198 [0.8518518518518519, 0.8333333333333334, 0.813953488372093, 0.8152173913043478, 0.8701298701298701, 0.8292682926829268, 0.8313253012048193, 0.8333333333333334, 0.8089887640449438, 0.8641975308641975]","precision: 0.8329 ± 0.0184 [0.8522727272727273, 0.8295454545454546, 0.8085106382978723, 0.8372093023255814, 0.8604651162790697, 0.8470588235294118, 0.8352941176470589, 0.8433734939759037, 0.8043478260869565, 0.8105263157894737]","precision: 0.8457 ± 0.0214 [0.8666666666666667, 0.8414634146341463, 0.8589743589743589, 0.8571428571428571, 0.8275862068965517, 0.8043478260869565, 0.868421052631579, 0.8160919540229885, 0.8518518518518519, 0.8641975308641975]"
"recall: 0.5829 ± 0.0275 [0.5853658536585366, 0.5934959349593496, 0.5121951219512195, 0.5772357723577236, 0.5934959349593496, 0.5934959349593496, 0.5853658536585366, 0.5691056910569106, 0.5934959349593496, 0.6260162601626016]","recall: 0.5691 ± 0.0171 [0.5609756097560976, 0.5691056910569106, 0.5691056910569106, 0.6097560975609756, 0.5447154471544715, 0.5528455284552846, 0.5609756097560976, 0.5691056910569106, 0.5853658536585366, 0.5691056910569106]","recall: 0.5967 ± 0.0171 [0.6097560975609756, 0.5934959349593496, 0.6178861788617886, 0.5853658536585366, 0.6016260162601627, 0.5853658536585366, 0.5772357723577236, 0.5691056910569106, 0.6016260162601627, 0.6260162601626016]","recall: 0.5602 ± 0.0225 [0.5284552845528455, 0.5609756097560976, 0.5447154471544715, 0.5365853658536586, 0.5853658536585366, 0.6016260162601627, 0.5365853658536586, 0.5772357723577236, 0.5609756097560976, 0.5691056910569106]"
"f1: 0.6894 ± 0.0163 [0.6857142857142857, 0.6952380952380952, 0.6461538461538462, 0.6794258373205742, 0.7053140096618358, 0.6985645933014354, 0.6889952153110048, 0.693069306930693, 0.6985645933014354, 0.7031963470319634]","f1: 0.6765 ± 0.0092 [0.6764705882352942, 0.6763285024154589, 0.6698564593301436, 0.6976744186046512, 0.67, 0.6634146341463415, 0.6699029126213593, 0.6763285024154589, 0.6792452830188679, 0.6862745098039216]","f1: 0.6950 ± 0.0103 [0.7109004739336493, 0.6919431279620853, 0.7004608294930875, 0.6889952153110048, 0.7081339712918661, 0.6923076923076923, 0.6826923076923077, 0.6796116504854369, 0.6883720930232559, 0.7064220183486238]","f1: 0.6733 ± 0.0108 [0.6565656565656566, 0.6731707317073171, 0.6666666666666666, 0.66, 0.6857142857142857, 0.6883720930232559, 0.6633165829145728, 0.6761904761904762, 0.6764705882352942, 0.6862745098039216]"
"accuracy: 0.7984 ± 0.0072 [0.79375, 0.8, 0.784375, 0.790625, 0.809375, 0.803125, 0.796875, 0.80625, 0.803125, 0.796875]","accuracy: 0.7909 ± 0.0049 [0.79375, 0.790625, 0.784375, 0.796875, 0.79375, 0.784375, 0.7875, 0.790625, 0.7875, 0.8]","accuracy: 0.7987 ± 0.0060 [0.809375, 0.796875, 0.796875, 0.796875, 0.809375, 0.8, 0.79375, 0.79375, 0.790625, 0.8]","accuracy: 0.7913 ± 0.0036 [0.7875, 0.790625, 0.790625, 0.7875, 0.79375, 0.790625, 0.790625, 0.7875, 0.79375, 0.8]"
,,,
environmental_claims:,environmental_claims:,environmental_claims:,environmental_claims:
"precision: 0.8116 ± 0.0000 [0.8115942028985508, 0.8115942028985508, 0.8115942028985508, 0.8115942028985508, 0.8115942028985508, 0.8115942028985508, 0.8115942028985508, 0.8115942028985508, 0.8115942028985508, 0.8115942028985508]","precision: 0.8056 ± 0.0000 [0.8055555555555556, 0.8055555555555556, 0.8055555555555556, 0.8055555555555556, 0.8055555555555556, 0.8055555555555556, 0.8055555555555556, 0.8055555555555556, 0.8055555555555556, 0.8055555555555556]","precision: 0.8406 ± 0.0000 [0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275]","precision: 0.8814 ± 0.0000 [0.8813559322033898, 0.8813559322033898, 0.8813559322033898, 0.8813559322033898, 0.8813559322033898, 0.8813559322033898, 0.8813559322033898, 0.8813559322033898, 0.8813559322033898, 0.8813559322033898]"
"recall: 0.8358 ± 0.0000 [0.835820895522388, 0.835820895522388, 0.835820895522388, 0.835820895522388, 0.835820895522388, 0.835820895522388, 0.835820895522388, 0.835820895522388, 0.835820895522388, 0.835820895522388]","recall: 0.8657 ± 0.0000 [0.8656716417910447, 0.8656716417910447, 0.8656716417910447, 0.8656716417910447, 0.8656716417910447, 0.8656716417910447, 0.8656716417910447, 0.8656716417910447, 0.8656716417910447, 0.8656716417910447]","recall: 0.8657 ± 0.0000 [0.8656716417910447, 0.8656716417910447, 0.8656716417910447, 0.8656716417910447, 0.8656716417910447, 0.8656716417910447, 0.8656716417910447, 0.8656716417910447, 0.8656716417910447, 0.8656716417910447]","recall: 0.7761 ± 0.0000 [0.7761194029850746, 0.7761194029850746, 0.7761194029850746, 0.7761194029850746, 0.7761194029850746, 0.7761194029850746, 0.7761194029850746, 0.7761194029850746, 0.7761194029850746, 0.7761194029850746]"
"f1: 0.8235 ± 0.0000 [0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058]","f1: 0.8345 ± 0.0000 [0.8345323741007195, 0.8345323741007195, 0.8345323741007195, 0.8345323741007195, 0.8345323741007195, 0.8345323741007195, 0.8345323741007195, 0.8345323741007195, 0.8345323741007195, 0.8345323741007195]","f1: 0.8529 ± 0.0000 [0.8529411764705882, 0.8529411764705882, 0.8529411764705882, 0.8529411764705882, 0.8529411764705882, 0.8529411764705882, 0.8529411764705882, 0.8529411764705882, 0.8529411764705882, 0.8529411764705882]","f1: 0.8254 ± 0.0000 [0.8253968253968254, 0.8253968253968254, 0.8253968253968254, 0.8253968253968254, 0.8253968253968254, 0.8253968253968254, 0.8253968253968254, 0.8253968253968254, 0.8253968253968254, 0.8253968253968254]"
